repo_id,pr_id,issue_id
212840200,4043,4042
212840200,4038,3970
212840200,4037,3541
212840200,4035,3482
212840200,4032,3959
212840200,4031,4002
212840200,4031,4005
212840200,4030,3989
212840200,4029,4013
212840200,4026,3815
212840200,4024,3827
212840200,4023,3827
212840200,4022,3913
212840200,4018,1767
212840200,4018,3922
212840200,4015,3559
212840200,4015,3870
212840200,4012,2969
212840200,4010,3860
212840200,4009,4001
212840200,4007,4000
212840200,3975,3973
212840200,3965,3963
212840200,3964,3963
212840200,3960,3958
212840200,3952,3951
165259818,519,515
165259818,518,515
165259818,488,487
165259818,403,355
165259818,377,363
196379320,996,995
196379320,992,977
87789709,174,173
87789709,171,170
87789709,152,151
75199304,727,718
75199304,714,702
363290003,23,21
362852755,73,72
362852755,64,63
362852755,21,4
106621728,2113,2111
106621728,2097,2096
106621728,2081,2039
106621728,2079,2018
54579435,1149,910
54579435,1149,1087
54579435,1149,1094
54579435,1149,1120
54579435,1149,1132
54579435,1149,1133
54579435,1149,1141
54579435,1128,1078
54579435,1128,1093
54579435,1128,1097
54579435,1128,1102
54579435,1128,1103
54579435,1128,1109
54579435,1128,1113
54579435,1128,1118
54579435,1128,1122
54579435,1128,1123
54579435,1128,1124
54579435,1128,1125
54579435,1100,1093
368304833,189,185
368304833,189,186
368304833,187,186
368304833,182,178
368304833,182,179
368304833,158,110
161474428,146,145
106008621,102,101
106008621,77,73
106008621,76,74
106008621,66,53
106008621,63,52
800100015,23,22
800100015,21,9
800100015,20,9
475097550,71,58
57330209,567,566
57330209,559,558
294732111,121,118
294732111,115,114
294732111,100,98
294732111,80,77
294732111,57,56
294732111,55,24
294732111,53,52
87865971,45,44
203868414,57,56
203868414,41,40
203868414,37,33
203868414,34,32
203868414,29,28
383262428,3,605
475465311,73,72
475465311,67,66
475465311,65,61
475465311,64,59
475465311,63,58
475465311,62,57
401301588,191,190
401301588,188,178
401301588,181,180
401301588,181,182
401301588,181,183
401301588,181,184
401301588,181,185
401301588,181,186
401301588,181,187
401301588,179,178
401301588,177,165
401301588,175,174
401301588,172,171
401301588,168,166
401301588,167,166
401301588,164,158
401301588,163,162
401301588,161,160
401301588,157,132
401301588,157,156
401301588,155,154
401301588,153,152
401301588,151,150
401301588,149,147
401301588,149,148
401301588,146,145
401301588,141,112
401301588,138,136
401301588,137,135
401301588,131,130
401301588,128,127
401301588,124,108
401301588,122,114
401301588,121,113
401301588,111,109
401301588,107,81
401301588,104,12
401301588,102,84
401301588,100,99
401301588,97,83
401301588,96,75
401301588,95,46
401301588,94,91
377527671,37,32
377527671,37,34
377527671,37,35
438295259,19,14
438295259,18,11
438295259,8,4
438295259,5,2
